region,subregion,station,abbreviation,elevation,month,precip,avg precip,pct of avg,year
SACRAMENTO RIVER,UPPER SACRAMENTO RIVER,Mccloud,MLD,3280,Oct-Sep,34.36,49.72,69.0,1987
SACRAMENTO RIVER,UPPER SACRAMENTO RIVER,Dunsmuir Treatment Plant,DNM,2170,Oct-Sep,44.18,57.73,77.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Plumas Eureka Park,PLE,5165,Oct-Sep,34.18,66.89,51.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Sierraville RS (USFS),SRR,4975,Oct-Sep,10.38,25.92,40.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Vinton,VNT,4944,Oct-Sep,7.23,13.07,55.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Portola,PRT,4850,Oct-Sep,8.84,20.68,43.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Chester,CHS,4525,Oct-Sep,19.94,31.92,62.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Strawberry Valley,STV,3808,Oct-Sep,36.5,81.26,45.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Greenville RS,GNV,3570,Oct-Sep,21.63,39.4,55.0,1987
SACRAMENTO RIVER,FEATHER RIVER,Quincy RS (USFS),QNC,3420,Oct-Sep,20.75,39.81,52.0,1987
SACRAMENTO RIVER,FEATHER RIVER,De Sabla (PG & E),DSB,2710,Oct-Sep,39.25,62.83,62.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Soda Springs 1 E,SSG,6885,Oct-Sep,34.48,63.75,54.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Bowman,BOW,5385,Oct-Sep,26.67,66.84,40.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Challenge Ranger Station,CHL,3200,Oct-Sep,35.88,65.75,55.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Downieville,DWV,2915,Oct-Sep,33.2,60.75,55.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Nevada City,NVD,2781,Oct-Sep,32.13,53.38,60.0,1987
SACRAMENTO RIVER,YUBA - BEAR RIVERS,Camptonville RS (USFS),CMV,2503,Oct-Sep,29.25,58.35,50.0,1987
